JRC_SAM_Ghana_2015 (Millions of Ghanaian Cedis)
Year,Spending Agent,Spending Agent (Macro-SAM Account),Spending Agent (Code),Receiving Agent,Receiving Agent (Macro-SAM Account),Receiving Agent (Code),Value
2015,Accommodation and food services (activities),Activities,a_hotl,Beverages (marketed commodities),Commodities,c_beve,64.7786319972124
2015,Accommodation and food services (activities),Activities,a_hotl,Business services (marketed commodities),Commodities,c_bsrv,11.505330541049400
2015,Accommodation and food services (activities),Activities,a_hotl,Capital - other (Factors - Capital),Factors,fcap_n,4757.337799395710
2015,Accommodation and food services (activities),Activities,a_hotl,Cassava (marketed commodities),Commodities,c_cass,18.938765930648600
2015,Accommodation and food services (activities),Activities,a_hotl,Cattle (marketed commodities),Commodities,c_catt,12.210883840557400
2015,Accommodation and food services (activities),Activities,a_hotl,Chemicals (marketed commodities),Commodities,c_chem,67.36262235523860
2015,Accommodation and food services (activities),Activities,a_hotl,Fats and oils (marketed commodities),Commodities,c_foil,393.32513471664
2015,Accommodation and food services (activities),Activities,a_hotl,Finance and insurance (marketed commodities),Commodities,c_fsrv,17.3685035861799
2015,Accommodation and food services (activities),Activities,a_hotl,Fishing (marketed commodities),Commodities,c_fish,303.22241400460400
2015,Accommodation and food services (activities),Activities,a_hotl,Forestry (marketed commodities),Commodities,c_fore,36.760050674447700
2015,Accommodation and food services (activities),Activities,a_hotl,Fruit and vegetable processing (marketed commodities),Commodities,c_fveg,52.921939364473600
2015,Accommodation and food services (activities),Activities,a_hotl,Fruits and nuts (marketed commodities),Commodities,c_frui,285.2660942449670
2015,Accommodation and food services (activities),Activities,a_hotl,Grain milling (marketed commodities),Commodities,c_gmll,748.5041659930620
2015,Accommodation and food services (activities),Activities,a_hotl,Groundnuts (marketed commodities),Commodities,c_gnut,25.889205367616200
2015,Accommodation and food services (activities),Activities,a_hotl,Machinery and equipment (marketed commodities),Commodities,c_mach,11.225025901648000
2015,Accommodation and food services (activities),Activities,a_hotl,Maize (marketed commodities),Commodities,c_maiz,261.8767230697990
2015,Accommodation and food services (activities),Activities,a_hotl,"Meat, fish and dairy (marketed commodities)",Commodities,c_meat,477.57260657876700
2015,Accommodation and food services (activities),Activities,a_hotl,Other foods (marketed commodities),Commodities,c_food,289.7810419599430
2015,Accommodation and food services (activities),Activities,a_hotl,Other livestock (marketed commodities),Commodities,c_oliv,66.54189246795360
2015,Accommodation and food services (activities),Activities,a_hotl,Other mining (marketed commodities),Commodities,c_omin,17.100895284993700
2015,Accommodation and food services (activities),Activities,a_hotl,Other oilseeds (marketed commodities),Commodities,c_oils,98.81232468600430
2015,Accommodation and food services (activities),Activities,a_hotl,Other roots (marketed commodities),Commodities,c_root,54.48215735156540
2015,Accommodation and food services (activities),Activities,a_hotl,Petroleum (marketed commodities),Commodities,c_petr,43.45268334117680
2015,Accommodation and food services (activities),Activities,a_hotl,Poultry (marketed commodities),Commodities,c_poul,159.25411945911500
